index,expected_intent,text,conversation_id,guest_id,ok,actual_lex_intent,resolved_intent,resolution_source,search_status,current_product_name,current_order_code,duration_ms,message_preview,error
11,ProductPriceIntent,báo giá giúp mình,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductPriceIntent,product_price,local_nlu,success,Samsung Galaxy S26 Ultra,,456.13,"### Samsung Galaxy S26 Ultra  ![Samsung Galaxy S26 Ultra](https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-s26-ultra-1.jpg)  **Giá từ:** 32.990.000 VNĐ **Khuyến mãi:** Chưa có chương trình khuyến mãi **Size:** 1TB / Titanium Black, ",
12,ProductAvailabilityIntent,còn hàng iphone 16 không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductAvailabilityIntent,product_availability,local_nlu,success,iPhone 16,,404.63,"iPhone 16 hiện đang có hàng trên hệ thống với 6 phiên bản (128GB / Black, 128GB / White, 128GB / Ultramarine, 256GB / Black, 256GB / White, 256GB / Ultramarine). Bạn có thể vào trang sản phẩm để chọn màu và dung lượng cụ thể.",
13,ProductAvailabilityIntent,còn màu đen không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductAvailabilityIntent,product_availability,local_nlu,success,iPhone 16,,704.3,"iPhone 16 hiện đang có hàng trên hệ thống với 6 phiên bản (128GB / Black, 128GB / White, 128GB / Ultramarine, 256GB / Black, 256GB / White, 256GB / Ultramarine). Bạn có thể vào trang sản phẩm để chọn màu và dung lượng cụ thể.",
14,ProductAvailabilityIntent,máy này hết hàng chưa,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductAvailabilityIntent,product_availability,local_nlu,success,iPhone 16,,544.66,"iPhone 16 hiện đang có hàng trên hệ thống với 6 phiên bản (128GB / Black, 128GB / White, 128GB / Ultramarine, 256GB / Black, 256GB / White, 256GB / Ultramarine). Bạn có thể vào trang sản phẩm để chọn màu và dung lượng cụ thể.",
15,ProductAvailabilityIntent,còn bản 256gb không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductAvailabilityIntent,product_availability,local_nlu,product_not_found,iPhone 16,,502.49,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
16,ProductAvailabilityIntent,có sẵn tại shop không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductAvailabilityIntent,product_availability,local_nlu,product_not_found,,,471.75,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
17,ProductRecommendationIntent,tư vấn cho mình điện thoại chơi game,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductRecommendationIntent,product_recommendation,local_nlu,recommendation_success,,,439.92,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 11: 6.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 16: 19.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 17: 22.990.000 VNĐ - ",
18,ProductRecommendationIntent,mua máy dưới 12 triệu nên chọn gì,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductRecommendationIntent,product_recommendation,local_nlu,recommendation_success,,,473.7,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 11: 6.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 12: 8.490.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 13: 10.490.000 VNĐ - Ư",
19,ProductRecommendationIntent,cần điện thoại pin khỏe,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductRecommendationIntent,product_recommendation,local_nlu,recommendation_success,,,389.67,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
20,ProductRecommendationIntent,gợi ý điện thoại chụp ảnh đẹp,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductRecommendationIntent,product_recommendation,local_nlu,recommendation_success,,,801.92,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 16: 19.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 11: 6.990.000 VNĐ - ",
21,ProductRecommendationIntent,sinh viên nên mua máy nào,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductRecommendationIntent,product_recommendation,local_nlu,recommendation_success,,,413.72,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
22,ProductCompareIntent,iphone 16 với s25 cái nào ngon hơn,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductCompareIntent,product_compare,local_nlu,product_not_found,,,313.02,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
23,ProductCompareIntent,nên chọn xiaomi hay samsung,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductCompareIntent,product_compare,local_nlu,product_not_found,,,463.86,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
24,ProductCompareIntent,so sánh giúp mình 2 máy này,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductCompareIntent,product_compare,local_nlu,product_not_found,,,212.15,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
25,ProductCompareIntent,con nào đáng tiền hơn,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductCompareIntent,product_compare,local_nlu,product_not_found,,,225.63,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
26,ProductCompareIntent,khác nhau chỗ nào,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductCompareIntent,product_compare,local_nlu,product_not_found,,,866.64,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
27,ProductSpecIntent,cấu hình máy này thế nào,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductSpecIntent,product_spec,local_nlu,product_spec,,,469.42,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
28,ProductSpecIntent,ram bao nhiêu vậy,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductSpecIntent,product_spec,local_nlu,product_spec,,,369.13,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
29,ProductSpecIntent,dùng chip gì,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductSpecIntent,product_spec,local_nlu,product_spec,,,418.49,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
30,ProductSpecIntent,màn hình bao nhiêu hz,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductSpecIntent,product_spec,local_nlu,product_spec,,,412.96,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
31,ProductSpecIntent,có hỗ trợ esim không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductSpecIntent,product_spec,local_nlu,product_spec,,,684.17,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone Air: 27.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 14: 12.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi {""richContent"": [[{""type"": """,
32,ProductCameraIntent,camera có đẹp không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductCameraIntent,product_camera,local_nlu,product_camera,,,326.34,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
33,ProductCameraIntent,chụp đêm ổn chứ,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductCameraIntent,product_camera,local_nlu,product_camera,,,504.27,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
34,ProductCameraIntent,quay video có rung không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductCameraIntent,product_camera,local_nlu,product_camera,,,465.75,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
35,ProductCameraIntent,máy nào selfie đẹp,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductCameraIntent,product_camera,local_nlu,product_camera,,,425.72,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
36,ProductCameraIntent,chụp chân dung ngon không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductCameraIntent,product_camera,local_nlu,product_camera,,,377.1,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
37,ProductBatteryIntent,pin dùng được mấy tiếng,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductBatteryIntent,product_battery,local_nlu,product_battery,,,454.1,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
38,ProductBatteryIntent,pin có trâu không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductBatteryIntent,product_battery,local_nlu,product_battery,,,378.41,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
39,ProductBatteryIntent,sạc đầy mất bao lâu,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductBatteryIntent,product_battery,local_nlu,product_battery,,,389.92,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
40,ProductBatteryIntent,hỗ trợ sạc nhanh bao nhiêu w,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductBatteryIntent,product_battery,local_nlu,product_battery,,,471.85,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
41,ProductBatteryIntent,dùng cả ngày nổi không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductBatteryIntent,product_battery,local_nlu,product_battery,,,392.38,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
42,ProductGamingIntent,chơi liên quân mượt không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductGamingIntent,product_gaming,local_nlu,product_gaming,,,342.2,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
43,ProductGamingIntent,chiến pubg max setting được không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductGamingIntent,product_gaming,local_nlu,product_gaming,,,449.71,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
44,ProductGamingIntent,máy nào gaming ngon,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductGamingIntent,product_gaming,local_nlu,product_gaming,,,458.24,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
45,ProductGamingIntent,chơi genshin ổn không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductGamingIntent,product_gaming,local_nlu,product_gaming,,,1152.57,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
46,ProductGamingIntent,có nóng máy không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,ProductGamingIntent,product_gaming,local_nlu,product_gaming,,,372.51,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
47,PromotionIntent,đang có sale gì không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,PromotionIntent,bonus,local_nlu,promotion_codes_available,,,263.83,"Các mã khuyến mãi hiện có gồm WELCOME10, ANDROID15, PHONE500K, FREESHIP và PREORDER17. Bạn có thể hỏi chi tiết từng mã, ví dụ: mã FREESHIP dùng được không?",
48,PromotionIntent,hôm nay có ưu đãi gì,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,PromotionIntent,bonus,local_nlu,promotion_codes_available,,,1204.31,"Các mã khuyến mãi hiện có gồm WELCOME10, ANDROID15, PHONE500K, FREESHIP và PREORDER17. Bạn có thể hỏi chi tiết từng mã, ví dụ: mã FREESHIP dùng được không?",
49,PromotionIntent,áp được mã giảm giá không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,PromotionIntent,bonus,local_nlu,promotion_codes_available,,,286.08,"Các mã khuyến mãi hiện có gồm WELCOME10, ANDROID15, PHONE500K, FREESHIP và PREORDER17. Bạn có thể hỏi chi tiết từng mã, ví dụ: mã FREESHIP dùng được không?",
50,PromotionIntent,có tặng quà kèm không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,PromotionIntent,bonus,local_nlu,promotion_not_found,tặng quà kèm,,829.63,Hiện mình chưa thấy chương trình khuyến mãi áp dụng cho tặng quà kèm. Bạn vẫn có thể hỏi mình giá từng sản phẩm cụ thể nhé.,
51,PromotionIntent,máy này có khuyến mãi không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,PromotionIntent,bonus,local_nlu,promotion_not_found,tặng quà kèm,,617.31,Hiện mình chưa thấy chương trình khuyến mãi áp dụng cho tặng quà kèm. Bạn vẫn có thể hỏi mình giá từng sản phẩm cụ thể nhé.,
52,InstallmentIntent,trả góp được không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,InstallmentIntent,installment,local_nlu,payment_installment_policy,,,359.34,Shop hỗ trợ các phương thức thanh toán: - COD khi nhận hàng. - Chuyển khoản ngân hàng. - Ví điện tử/Momo/VNPAY nếu checkout đang bật cổng thanh toán tương ứng. - Thẻ tín dụng và trả góp tuỳ chương trình tại thời điểm đặt hàng. Bạn có thể th,
53,InstallmentIntent,góp 12 tháng được chứ,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,InstallmentIntent,installment,local_nlu,payment_installment_policy,,,239.03,Shop hỗ trợ các phương thức thanh toán: - COD khi nhận hàng. - Chuyển khoản ngân hàng. - Ví điện tử/Momo/VNPAY nếu checkout đang bật cổng thanh toán tương ứng. - Thẻ tín dụng và trả góp tuỳ chương trình tại thời điểm đặt hàng. Bạn có thể th,
54,InstallmentIntent,cần trả trước bao nhiêu,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,InstallmentIntent,installment,local_nlu,payment_installment_policy,cần trả trước,,282.52,Shop hỗ trợ các phương thức thanh toán với cần trả trước: - COD khi nhận hàng. - Chuyển khoản ngân hàng. - Ví điện tử/Momo/VNPAY nếu checkout đang bật cổng thanh toán tương ứng. - Thẻ tín dụng và trả góp tuỳ chương trình tại thời điểm đặt h,
55,InstallmentIntent,có 0 phần trăm không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,InstallmentIntent,installment,local_nlu,payment_installment_policy,,,321.59,Shop hỗ trợ các phương thức thanh toán: - COD khi nhận hàng. - Chuyển khoản ngân hàng. - Ví điện tử/Momo/VNPAY nếu checkout đang bật cổng thanh toán tương ứng. - Thẻ tín dụng và trả góp tuỳ chương trình tại thời điểm đặt hàng. Bạn có thể th,
56,InstallmentIntent,trả góp qua thẻ tín dụng nha,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,InstallmentIntent,installment,local_nlu,payment_installment_policy,,,1151.83,Shop hỗ trợ các phương thức thanh toán: - COD khi nhận hàng. - Chuyển khoản ngân hàng. - Ví điện tử/Momo/VNPAY nếu checkout đang bật cổng thanh toán tương ứng. - Thẻ tín dụng và trả góp tuỳ chương trình tại thời điểm đặt hàng. Bạn có thể th,
57,PaymentMethodIntent,nhận chuyển khoản không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,PaymentMethodIntent,payment_method,local_nlu,payment_installment_policy,,,243.17,Shop hỗ trợ các phương thức thanh toán: - COD khi nhận hàng. - Chuyển khoản ngân hàng. - Ví điện tử/Momo/VNPAY nếu checkout đang bật cổng thanh toán tương ứng. - Thẻ tín dụng và trả góp tuỳ chương trình tại thời điểm đặt hàng. Bạn có thể th,
58,PaymentMethodIntent,có thanh toán momo không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,PaymentMethodIntent,payment_method,local_nlu,payment_installment_policy,,,206.15,Shop hỗ trợ các phương thức thanh toán: - COD khi nhận hàng. - Chuyển khoản ngân hàng. - Ví điện tử/Momo/VNPAY nếu checkout đang bật cổng thanh toán tương ứng. - Thẻ tín dụng và trả góp tuỳ chương trình tại thời điểm đặt hàng. Bạn có thể th,
59,PaymentMethodIntent,quẹt thẻ được không,conv_lex_smoke_20260614T015449Z,guest_lex_smoke_20260614T015449Z,True,PaymentMethodIntent,payment_method,local_nlu,payment_installment_policy,,,1055.37,Shop hỗ trợ các phương thức thanh toán: - COD khi nhận hàng. - Chuyển khoản ngân hàng. - Ví điện tử/Momo/VNPAY nếu checkout đang bật cổng thanh toán tương ứng. - Thẻ tín dụng và trả góp tuỳ chương trình tại thời điểm đặt hàng. Bạn có thể th,
