case_id,type,turn_1_expected,turn_1,turn_2_expected,turn_2,turn_3_expected,turn_3,turn_4_expected,turn_4
17,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,HumanHandoffIntent,cho tôi gặp nhân viên,ProductAvailabilityIntent,còn hàng không
18,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,HumanHandoffIntent,cho tôi gặp nhân viên,WarrantyPolicyIntent,bảo hành bao lâu
19,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,HumanHandoffIntent,cho tôi gặp nhân viên,ProductCameraIntent,camera thế nào
20,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,HumanHandoffIntent,cho tôi gặp nhân viên,ProductBatteryIntent,pin có tốt không
21,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderHistoryIntent,xem lịch sử đơn hàng,ProductPriceIntent,giá bao nhiêu
22,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderHistoryIntent,xem lịch sử đơn hàng,ProductAvailabilityIntent,còn hàng không
23,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderHistoryIntent,xem lịch sử đơn hàng,WarrantyPolicyIntent,bảo hành bao lâu
24,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderHistoryIntent,xem lịch sử đơn hàng,ProductCameraIntent,camera thế nào
25,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderHistoryIntent,xem lịch sử đơn hàng,ProductBatteryIntent,pin có tốt không
26,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderStatusIntent,đơn của tôi đang ở đâu,ProductPriceIntent,giá bao nhiêu
27,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderStatusIntent,đơn của tôi đang ở đâu,ProductAvailabilityIntent,còn hàng không
28,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderStatusIntent,đơn của tôi đang ở đâu,WarrantyPolicyIntent,bảo hành bao lâu
29,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderStatusIntent,đơn của tôi đang ở đâu,ProductCameraIntent,camera thế nào
30,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderStatusIntent,đơn của tôi đang ở đâu,ProductBatteryIntent,pin có tốt không
31,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderDetailIntent,xem chi tiết đơn hàng,ProductPriceIntent,giá bao nhiêu
32,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderDetailIntent,xem chi tiết đơn hàng,ProductAvailabilityIntent,còn hàng không
33,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderDetailIntent,xem chi tiết đơn hàng,WarrantyPolicyIntent,bảo hành bao lâu
34,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderDetailIntent,xem chi tiết đơn hàng,ProductCameraIntent,camera thế nào
35,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderDetailIntent,xem chi tiết đơn hàng,ProductBatteryIntent,pin có tốt không
36,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderCancelIntent,tôi muốn hủy đơn,ProductPriceIntent,giá bao nhiêu
37,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderCancelIntent,tôi muốn hủy đơn,ProductAvailabilityIntent,còn hàng không
38,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderCancelIntent,tôi muốn hủy đơn,WarrantyPolicyIntent,bảo hành bao lâu
39,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderCancelIntent,tôi muốn hủy đơn,ProductCameraIntent,camera thế nào
40,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderCancelIntent,tôi muốn hủy đơn,ProductBatteryIntent,pin có tốt không
41,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderModifyIntent,tôi muốn sửa đơn,ProductPriceIntent,giá bao nhiêu
42,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderModifyIntent,tôi muốn sửa đơn,ProductAvailabilityIntent,còn hàng không
43,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderModifyIntent,tôi muốn sửa đơn,WarrantyPolicyIntent,bảo hành bao lâu
44,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderModifyIntent,tôi muốn sửa đơn,ProductCameraIntent,camera thế nào
45,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,OrderModifyIntent,tôi muốn sửa đơn,ProductBatteryIntent,pin có tốt không
46,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,RefundStatusIntent,bao giờ tôi được hoàn tiền,ProductPriceIntent,giá bao nhiêu
47,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,RefundStatusIntent,bao giờ tôi được hoàn tiền,ProductAvailabilityIntent,còn hàng không
48,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,RefundStatusIntent,bao giờ tôi được hoàn tiền,WarrantyPolicyIntent,bảo hành bao lâu
49,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,RefundStatusIntent,bao giờ tôi được hoàn tiền,ProductCameraIntent,camera thế nào
50,product_context,product_price,iPhone 16 giá bao nhiêu,ProductAvailabilityIntent,máy này còn hàng không,RefundStatusIntent,bao giờ tôi được hoàn tiền,ProductBatteryIntent,pin có tốt không
51,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,StoreInfoIntent,shop mở cửa lúc mấy giờ,ProductPriceIntent,giá bao nhiêu
52,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,StoreInfoIntent,shop mở cửa lúc mấy giờ,ProductAvailabilityIntent,còn hàng không
53,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,StoreInfoIntent,shop mở cửa lúc mấy giờ,WarrantyPolicyIntent,bảo hành bao lâu
54,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,StoreInfoIntent,shop mở cửa lúc mấy giờ,ProductCameraIntent,camera thế nào
55,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,StoreInfoIntent,shop mở cửa lúc mấy giờ,ProductBatteryIntent,pin có tốt không
56,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,GreetingIntent,xin chào shop,ProductPriceIntent,giá bao nhiêu
57,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,GreetingIntent,xin chào shop,ProductAvailabilityIntent,còn hàng không
58,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,GreetingIntent,xin chào shop,WarrantyPolicyIntent,bảo hành bao lâu
59,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,GreetingIntent,xin chào shop,ProductCameraIntent,camera thế nào
60,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,GreetingIntent,xin chào shop,ProductBatteryIntent,pin có tốt không
61,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,FallbackIntent,kể cho tôi chuyện cổ tích,ProductPriceIntent,giá bao nhiêu
62,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,FallbackIntent,kể cho tôi chuyện cổ tích,ProductAvailabilityIntent,còn hàng không
63,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,FallbackIntent,kể cho tôi chuyện cổ tích,WarrantyPolicyIntent,bảo hành bao lâu
64,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,FallbackIntent,kể cho tôi chuyện cổ tích,ProductCameraIntent,camera thế nào
65,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,FallbackIntent,kể cho tôi chuyện cổ tích,ProductBatteryIntent,pin có tốt không
66,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,HumanHandoffIntent,cho tôi gặp nhân viên,ProductPriceIntent,giá bao nhiêu
67,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,HumanHandoffIntent,cho tôi gặp nhân viên,ProductAvailabilityIntent,còn hàng không
68,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,HumanHandoffIntent,cho tôi gặp nhân viên,WarrantyPolicyIntent,bảo hành bao lâu
69,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,HumanHandoffIntent,cho tôi gặp nhân viên,ProductCameraIntent,camera thế nào
70,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,HumanHandoffIntent,cho tôi gặp nhân viên,ProductBatteryIntent,pin có tốt không
71,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderHistoryIntent,xem lịch sử đơn hàng,ProductPriceIntent,giá bao nhiêu
72,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderHistoryIntent,xem lịch sử đơn hàng,ProductAvailabilityIntent,còn hàng không
73,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderHistoryIntent,xem lịch sử đơn hàng,WarrantyPolicyIntent,bảo hành bao lâu
74,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderHistoryIntent,xem lịch sử đơn hàng,ProductCameraIntent,camera thế nào
75,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderHistoryIntent,xem lịch sử đơn hàng,ProductBatteryIntent,pin có tốt không
76,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderStatusIntent,đơn của tôi đang ở đâu,ProductPriceIntent,giá bao nhiêu
77,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderStatusIntent,đơn của tôi đang ở đâu,ProductAvailabilityIntent,còn hàng không
78,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderStatusIntent,đơn của tôi đang ở đâu,WarrantyPolicyIntent,bảo hành bao lâu
79,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderStatusIntent,đơn của tôi đang ở đâu,ProductCameraIntent,camera thế nào
80,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderStatusIntent,đơn của tôi đang ở đâu,ProductBatteryIntent,pin có tốt không
81,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderDetailIntent,xem chi tiết đơn hàng,ProductPriceIntent,giá bao nhiêu
82,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderDetailIntent,xem chi tiết đơn hàng,ProductAvailabilityIntent,còn hàng không
83,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderDetailIntent,xem chi tiết đơn hàng,WarrantyPolicyIntent,bảo hành bao lâu
84,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderDetailIntent,xem chi tiết đơn hàng,ProductCameraIntent,camera thế nào
85,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderDetailIntent,xem chi tiết đơn hàng,ProductBatteryIntent,pin có tốt không
86,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderCancelIntent,tôi muốn hủy đơn,ProductPriceIntent,giá bao nhiêu
87,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderCancelIntent,tôi muốn hủy đơn,ProductAvailabilityIntent,còn hàng không
88,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderCancelIntent,tôi muốn hủy đơn,WarrantyPolicyIntent,bảo hành bao lâu
89,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderCancelIntent,tôi muốn hủy đơn,ProductCameraIntent,camera thế nào
90,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderCancelIntent,tôi muốn hủy đơn,ProductBatteryIntent,pin có tốt không
91,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderModifyIntent,tôi muốn sửa đơn,ProductPriceIntent,giá bao nhiêu
92,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderModifyIntent,tôi muốn sửa đơn,ProductAvailabilityIntent,còn hàng không
93,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderModifyIntent,tôi muốn sửa đơn,WarrantyPolicyIntent,bảo hành bao lâu
94,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderModifyIntent,tôi muốn sửa đơn,ProductCameraIntent,camera thế nào
95,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,OrderModifyIntent,tôi muốn sửa đơn,ProductBatteryIntent,pin có tốt không
96,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,RefundStatusIntent,bao giờ tôi được hoàn tiền,ProductPriceIntent,giá bao nhiêu
97,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,RefundStatusIntent,bao giờ tôi được hoàn tiền,ProductAvailabilityIntent,còn hàng không
98,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,RefundStatusIntent,bao giờ tôi được hoàn tiền,WarrantyPolicyIntent,bảo hành bao lâu
99,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,RefundStatusIntent,bao giờ tôi được hoàn tiền,ProductCameraIntent,camera thế nào
100,product_context,product_price,iPhone 16 giá bao nhiêu,WarrantyPolicyIntent,máy này bảo hành bao lâu,RefundStatusIntent,bao giờ tôi được hoàn tiền,ProductBatteryIntent,pin có tốt không
101,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,StoreInfoIntent,shop mở cửa lúc mấy giờ,ProductPriceIntent,giá bao nhiêu
102,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,StoreInfoIntent,shop mở cửa lúc mấy giờ,ProductAvailabilityIntent,còn hàng không
103,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,StoreInfoIntent,shop mở cửa lúc mấy giờ,WarrantyPolicyIntent,bảo hành bao lâu
104,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,StoreInfoIntent,shop mở cửa lúc mấy giờ,ProductCameraIntent,camera thế nào
105,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,StoreInfoIntent,shop mở cửa lúc mấy giờ,ProductBatteryIntent,pin có tốt không
106,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,GreetingIntent,xin chào shop,ProductPriceIntent,giá bao nhiêu
107,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,GreetingIntent,xin chào shop,ProductAvailabilityIntent,còn hàng không
108,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,GreetingIntent,xin chào shop,WarrantyPolicyIntent,bảo hành bao lâu
109,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,GreetingIntent,xin chào shop,ProductCameraIntent,camera thế nào
110,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,GreetingIntent,xin chào shop,ProductBatteryIntent,pin có tốt không
111,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,FallbackIntent,kể cho tôi chuyện cổ tích,ProductPriceIntent,giá bao nhiêu
112,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,FallbackIntent,kể cho tôi chuyện cổ tích,ProductAvailabilityIntent,còn hàng không
113,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,FallbackIntent,kể cho tôi chuyện cổ tích,WarrantyPolicyIntent,bảo hành bao lâu
114,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,FallbackIntent,kể cho tôi chuyện cổ tích,ProductCameraIntent,camera thế nào
115,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,FallbackIntent,kể cho tôi chuyện cổ tích,ProductBatteryIntent,pin có tốt không
116,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,HumanHandoffIntent,cho tôi gặp nhân viên,ProductPriceIntent,giá bao nhiêu
117,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,HumanHandoffIntent,cho tôi gặp nhân viên,ProductAvailabilityIntent,còn hàng không
118,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,HumanHandoffIntent,cho tôi gặp nhân viên,WarrantyPolicyIntent,bảo hành bao lâu
119,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,HumanHandoffIntent,cho tôi gặp nhân viên,ProductCameraIntent,camera thế nào
120,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,HumanHandoffIntent,cho tôi gặp nhân viên,ProductBatteryIntent,pin có tốt không
121,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderHistoryIntent,xem lịch sử đơn hàng,ProductPriceIntent,giá bao nhiêu
122,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderHistoryIntent,xem lịch sử đơn hàng,ProductAvailabilityIntent,còn hàng không
123,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderHistoryIntent,xem lịch sử đơn hàng,WarrantyPolicyIntent,bảo hành bao lâu
124,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderHistoryIntent,xem lịch sử đơn hàng,ProductCameraIntent,camera thế nào
125,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderHistoryIntent,xem lịch sử đơn hàng,ProductBatteryIntent,pin có tốt không
126,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderStatusIntent,đơn của tôi đang ở đâu,ProductPriceIntent,giá bao nhiêu
127,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderStatusIntent,đơn của tôi đang ở đâu,ProductAvailabilityIntent,còn hàng không
128,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderStatusIntent,đơn của tôi đang ở đâu,WarrantyPolicyIntent,bảo hành bao lâu
129,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderStatusIntent,đơn của tôi đang ở đâu,ProductCameraIntent,camera thế nào
130,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderStatusIntent,đơn của tôi đang ở đâu,ProductBatteryIntent,pin có tốt không
131,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderDetailIntent,xem chi tiết đơn hàng,ProductPriceIntent,giá bao nhiêu
132,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderDetailIntent,xem chi tiết đơn hàng,ProductAvailabilityIntent,còn hàng không
133,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderDetailIntent,xem chi tiết đơn hàng,WarrantyPolicyIntent,bảo hành bao lâu
134,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderDetailIntent,xem chi tiết đơn hàng,ProductCameraIntent,camera thế nào
135,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderDetailIntent,xem chi tiết đơn hàng,ProductBatteryIntent,pin có tốt không
136,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderCancelIntent,tôi muốn hủy đơn,ProductPriceIntent,giá bao nhiêu
137,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderCancelIntent,tôi muốn hủy đơn,ProductAvailabilityIntent,còn hàng không
138,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderCancelIntent,tôi muốn hủy đơn,WarrantyPolicyIntent,bảo hành bao lâu
139,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderCancelIntent,tôi muốn hủy đơn,ProductCameraIntent,camera thế nào
140,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderCancelIntent,tôi muốn hủy đơn,ProductBatteryIntent,pin có tốt không
141,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderModifyIntent,tôi muốn sửa đơn,ProductPriceIntent,giá bao nhiêu
142,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderModifyIntent,tôi muốn sửa đơn,ProductAvailabilityIntent,còn hàng không
143,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderModifyIntent,tôi muốn sửa đơn,WarrantyPolicyIntent,bảo hành bao lâu
144,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderModifyIntent,tôi muốn sửa đơn,ProductCameraIntent,camera thế nào
145,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,OrderModifyIntent,tôi muốn sửa đơn,ProductBatteryIntent,pin có tốt không
146,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,RefundStatusIntent,bao giờ tôi được hoàn tiền,ProductPriceIntent,giá bao nhiêu
147,product_context,product_price,iPhone 16 giá bao nhiêu,ProductCameraIntent,camera máy này thế nào,RefundStatusIntent,bao giờ tôi được hoàn tiền,ProductAvailabilityIntent,còn hàng không
